> #PAC_Juan de Fuca	
342.111	0.031
342.677	0.150
343.243	0.269
343.502	0.299
343.748	-0.556
343.963	-0.520
344.159	-1.143
344.435	-1.073
344.590	-1.493
345.341	-1.301
346.091	-1.108
346.842	-0.915
347.070	-1.507
347.299	-2.099
347.836	-1.945
348.001	-2.400
348.166	-2.855
347.971	-3.013
348.102	-3.493
348.234	-3.972
347.903	-4.103
347.961	-4.587
347.856	-4.609
347.981	-5.026
348.396	-4.942
348.484	-5.415
348.833	-5.377
348.978	-5.930
348.733	-6.020
348.819	-6.755
348.007	-6.961
347.193	-7.165
346.379	-7.367
346.511	-7.889
346.643	-8.411
346.809	-8.374
346.977	-9.225
346.752	-9.276
346.834	-9.794
346.685	-9.825
346.826	-10.623
346.969	-11.422
346.476	-11.539
345.982	-11.655
345.488	-11.771
344.994	-11.885
345.092	-12.339
345.139	-12.320
345.209	-12.656
345.450	-12.577
345.590	-13.218
345.400	-13.266
345.461	-13.737
345.522	-14.208
346.357	-14.035
346.565	-14.849
346.774	-15.663
